Year,Quarter,Month,Day,Country,Aircraft,Location,Operator,Ground,Aboard,Month_Num,Month_Name,Date,Fatalities_Air,Survived,Survival_Rate,Fatality_Rate,Total_Deaths,Manufacturer,Total_Fatalities,YearMonth
1973,Qtr 4,December,21,South,Boeing Vertol CH 47 (helilcopter)?,Near Siagon South,Force Air Vietnamese - VietnamMilitary,0,20,12,December,1973-12-21,20,0,0.0,1.0,20,Boeing Vertol,20,1973-12
1955,Qtr 4,December,17,South,Curtiss C 46AN9904F,Hollywood South,Airlines CarolinaRiddle,0,2,12,December,1955-12-17,2,0,0.0,1.0,2,Curtiss,2,1955-12
2012,Qtr 4,December,5,South,Douglas C47 TP6840,Near Ladysmith South,Force Air African South - AfricaMilitary,0,11,12,December,2012-12-05,11,0,0.0,1.0,11,Douglas,11,2012-12
1973,Qtr 4,December,28,South,Douglas DC 3ZS,Durban South,Funds AfricaExecutive,0,25,12,December,1973-12-28,1,24,96.0,0.04,1,Douglas,1,1973-12
1964,Qtr 4,December,11,South,Fairchild C 123?,Near Da Nang South,Force Air Vietnamese - VietnamMilitary,0,38,12,December,1964-12-11,38,0,0.0,1.0,38,Fairchild,38,1964-12
1965,Qtr 4,December,11,South,Fairchild C 123C56,Near Tuy Hoa South,Force Air U.S. - VietnamMilitary,0,85,12,December,1965-12-11,85,0,0.0,1.0,85,Fairchild,85,1965-12
1933,Qtr 4,December,14,South,Junkers W 34ZS,Eshowe South,Airways AfricaUnion,0,6,12,December,1933-12-14,5,1,16.666666666666664,0.8333333333333334,5,Junkers,5,1933-12
1983,Qtr 4,December,7,Spain,Boeing B 727,Near Madrid Spain,Aviaco / Airlines Iberia,0,135,12,December,1983-12-07,93,42,31.11111111111111,0.6888888888888889,93,Boeing,93,1983-12
1927,Qtr 4,December,28,Spain,Breguet 14F AFGS,Almeria Spain,Aeropostale,0,1,12,December,1927-12-28,1,0,0.0,1.0,1,Breguet,1,1927-12
1920,Qtr 4,December,24,Spain,Breguet 14F ALBO,Barcelona Spain,Aeropostale,0,1,12,December,1920-12-24,1,0,0.0,1.0,1,Breguet,1,1920-12
1953,Qtr 4,December,4,Spain,Bristol 170 Freighter 21EC AEG,Near Guaderrama Spain,Aviaco,0,33,12,December,1953-12-04,23,10,30.303030303030305,0.696969696969697,23,Bristol 170 Freighter,23,1953-12
1948,Qtr 4,December,23,Spain,Douglas DC 3 (C,Near Madrid Spain,Airlines Iberia,0,27,12,December,1948-12-23,27,0,0.0,1.0,27,Douglas,27,1948-12
1958,Qtr 4,December,4,Spain,SNCASE LanguedocEC ANR,Guadarrama Mountains Spain,Aviaco,0,21,12,December,1958-12-04,21,0,0.0,1.0,21,SNCASE,21,1958-12
1974,Qtr 4,December,4,Sri,McDonnell Douglas DC 8,Near Maskeliya Sri,NV Holland LankaMartinair,0,191,12,December,1974-12-04,191,0,0.0,1.0,191,McDonnell Douglas,191,1974-12
1971,Qtr 4,December,6,Sudan,Fokker F 27 Friendship 200ST,Tikaka Sudan,Airways Sudan,0,42,12,December,1971-12-06,10,32,76.19047619047619,0.23809523809523808,10,Fokker,10,1971-12
1919,Qtr 4,December,11,Surrey,De Havilland DH 4G,Catherham Surrey,UKAircraft Travel Transport,0,1,12,December,1919-12-11,1,0,0.0,1.0,1,De Havilland,1,1919-12
1991,Qtr 4,December,27,Sweden,Mc Donnell Douglas MD 81OY,Stockholm Sweden,(SAS) Airlines Scandinavian,0,129,12,December,1991-12-27,0,129,100.0,0.0,0,McDonnell Douglas,0,1991-12
1953,Qtr 4,December,19,Switzerland,Convair CV 240OO,Zurich Switzerland,Sabena,0,44,12,December,1953-12-19,1,43,97.72727272727273,0.022727272727272728,1,Convair,1,1953-12
1934,Qtr 4,December,20,Syria,Douglas DC 2,Rutbah Wells Syria,Airlines Dutch Royal KLM,0,7,12,December,1934-12-20,7,0,0.0,1.0,7,Douglas,7,1934-12
